price,sqrt,location,bhk,Gymnasium,Lift Available,CarParking,Maintenance Staff,Swimming Pool
18000000.0,630.0,ghatkopar west,2.0,0,1,1,1,0
13000000.0,1350.0,ulwe,2.0,1,1,0,0,1
7500000.0,1050.0,parsik nagar,2.0,0,1,1,1,0
9400000.0,495.0,chembur,1.0,1,1,1,0,0
6800000.0,966.0,kalyan west,2.0,1,1,1,0,1
13899999.0,1200.0,kandivali west,2.0,1,1,1,1,1
5600000.0,1171.0,mira road east,2.0,1,1,1,0,1
5550000.0,990.0,palava,2.0,0,0,1,0,0
9500000.0,914.0,kharghar,2.0,0,0,1,1,0
2283000.0,550.0,titwala,1.0,0,1,0,0,0
22000000.0,1530.0,kandivali east,3.0,1,1,1,1,1
18000000.0,560.0,unknown,1.0,1,1,0,0,0
14500000.0,580.0,borivali west,2.0,1,1,0,0,0
