title,price,area,price_per_sqft,locality,city,property_type,bedroom_num,bathroom_num,furnished,total_floors,new_latitude,new_longitude,new_pincode
 ,15500000,950,16315.78947368421,Malad,Mumbai,Apartment,2,2,Unfurnished,1,19.1870194,72.836937,400064
Space Skylark,7800000,1110,7027.027027027027,Vasai,Mumbai,Apartment,2,2,Semi-Furnished,1,19.3629475,72.81176,401201
Siddhivinayak Pratima,3250000,1000,3250.0,Taloja,Mumbai,Apartment,1,1,Unfurnished,1,19.0757828,73.1032181,410208
 ,4800000,640,7500.0,Dombivli,Mumbai,Apartment,1,2,Unfurnished,1,19.2251644,73.0796814,421201
 ,4725000,630,7500.0,Dombivli,Mumbai,Apartment,1,2,Unfurnished,1,19.2251644,73.0796814,421201
Ghanshyam Kanti Dhuri Sheraton,18000000,2075,8674.698795180722,Vasai,Mumbai,Apartment,3,3,Semi-Furnished,1,19.3939037,72.8265152,401201
 ,6700000,895,7486.033519553072,Dombivli,Mumbai,Apartment,2,2,Unfurnished,1,19.2251644,73.0796814,421201
Jhalak Fourwings,4999000,1000,4999.0,Ambernath,Mumbai,Apartment,2,1,Unfurnished,1,19.2076912,73.180809,421501
Rajhans Kshitij Iris Wing E F G,7500000,980,7653.061224489796,Vasai,Mumbai,Apartment,2,2,Unfurnished,1,19.3749809,72.8155289,401201
Arkade Art,6800000,700,9714.285714285714,Mira Road,Mumbai,Apartment,1,2,Semi-Furnished,1,19.2802544,72.8841095,401107
Gajra Bhoomi Gardenia 1,7500000,1160,6465.517241379311,Kalamboli,Mumbai,Apartment,2,2,Unfurnished,1,19.0376873,73.0946808,410218
 ,9400000,1105,8506.787330316742,Mira Road,Mumbai,Apartment,2,2,Semi-Furnished,1,19.2829971,72.8760681,401107
 ,6336000,770,8228.57142857143,Mira Road,Mumbai,Apartment,1,2,Semi-Furnished,1,19.2829971,72.8760681,401107
